iter	Passed	Remaining
686	3013	1372
687	3016	1367
688	3025	1365
689	3031	1361
690	3035	1357
691	3038	1352
692	3041	1347
693	3044	1342
694	3049	1338
695	3052	1333
696	3055	1328
697	3059	1323
698	3063	1319
699	3066	1314
700	3068	1308
701	3073	1304
702	3084	1303
703	3094	1301
704	3097	1295
705	3098	1290
706	3109	1288
707	3113	1284
708	3119	1280
709	3126	1277
710	3129	1272
711	3132	1267
712	3135	1262
713	3139	1257
714	3142	1252
715	3144	1247
716	3146	1241
717	3149	1237
718	3153	1232
719	3156	1227
720	3157	1221
721	3159	1216
722	3161	1211
723	3165	1206
724	3168	1201
725	3171	1196
726	3173	1191
727	3174	1186
728	3181	1182
729	3185	1178
730	3188	1173
731	3189	1167
732	3196	1164
733	3209	1163
734	3212	1158
735	3214	1153
736	3216	1147
737	3218	1142
738	3222	1138
739	3227	1133
740	3230	1129
741	3231	1123
742	3233	1118
743	3236	1113
744	3242	1109
745	3245	1104
746	3247	1099
747	3251	1095
748	3255	1090
749	3258	1086
750	3260	1081
751	3262	1076
752	3266	1071
753	3273	1068
754	3277	1063
755	3279	1058
756	3283	1054
757	3288	1049
758	3291	1045
759	3293	1040
760	3295	1034
761	3298	1030
762	3301	1025
763	3304	1020
764	3306	1015
765	3307	1010
766	3311	1005
767	3314	1001
768	3317	996
769	3323	992
770	3333	990
771	3336	985
772	3339	980
773	3343	976
774	3351	973
775	3353	968
776	3360	964
777	3367	960
778	3372	956
779	3378	953
780	3383	948
781	3388	944
782	3399	942
783	3402	937
784	3409	933
785	3412	929
786	3421	925
787	3424	921
788	3429	917
789	3434	912
790	3437	908
791	3438	903
792	3440	897
793	3446	894
794	3450	889
795	3452	884
796	3454	879
797	3456	874
798	3458	870
799	3462	865
800	3467	861
801	3469	856
802	3475	852
803	3479	848
804	3481	843
805	3483	838
806	3485	833
807	3488	828
808	3491	824
809	3495	819
810	3500	815
811	3501	810
812	3509	807
813	3511	802
814	3512	797
815	3514	792
816	3516	787
817	3518	782
818	3522	778
819	3524	773
820	3526	768
821	3529	764
822	3532	759
823	3540	756
824	3545	752
825	3547	747
826	3550	742
827	3556	738
828	3559	734
829	3561	729
830	3566	725
831	3572	721
832	3580	717
833	3586	713
834	3590	709
835	3595	705
836	3601	701
837	3603	696
838	3605	691
839	3609	687
840	3619	684
841	3621	679
842	3630	676
843	3632	671
844	3634	666
845	3635	661
846	3637	657
847	3640	652
848	3647	648
849	3649	644
850	3652	639
851	3653	634
852	3658	630
853	3661	625
854	3663	621
855	3664	616
856	3666	611
857	3675	608
858	3680	604
859	3683	599
860	3691	596
861	3694	591
862	3696	586
863	3702	582
864	3708	578
865	3710	574
866	3712	569
867	3713	564
868	3722	561
869	3724	556
870	3726	551
871	3730	547
872	3733	543
873	3737	538
874	3738	534
875	3740	529
876	3742	524
877	3745	520
878	3748	516
879	3752	511
880	3753	507
881	3755	502
882	3757	497
883	3763	493
884	3765	489
885	3768	484
886	3771	480
887	3773	475
888	3776	471
889	3779	467
890	3781	462
891	3782	458
892	3785	453
893	3787	449
894	3790	444
895	3792	440
896	3795	435
897	3797	431
898	3798	426
899	3800	422
900	3807	418
901	3810	413
902	3811	409
903	3813	404
904	3814	400
905	3816	395
906	3820	391
907	3823	387
908	3826	383
909	3827	378
910	3829	374
911	3835	370
912	3838	365
913	3840	361
914	3842	356
915	3843	352
916	3845	348
917	3850	343
918	3852	339
919	3854	335
920	3857	330
921	3859	326
922	3863	322
923	3866	318
924	3868	313
925	3869	309
926	3871	304
927	3873	300
928	3876	296
929	3878	291
930	3880	287
931	3882	283
932	3884	278
933	3893	275
934	3895	270
935	3896	266
936	3898	262
937	3899	257
938	3907	253
939	3909	249
940	3911	245
941	3913	240
942	3914	236
943	3920	232
944	3923	228
945	3925	224
946	3927	219
947	3928	215
948	3930	211
949	3937	207
950	3940	203
951	3941	198
952	3943	194
953	3945	190
954	3949	186
955	3952	181
956	3953	177
957	3955	173
958	3956	169
959	3958	164
960	3959	160
961	3964	156
962	3966	152
963	3968	148
964	3971	144
965	3973	139
966	3975	135
967	3982	131
968	3984	127
969	3986	123
970	3988	119
971	3989	114
972	3991	110
973	3995	106
974	3997	102
975	4000	98
976	4003	94
977	4005	90
978	4014	86
979	4016	81
980	4017	77
981	4018	73
982	4020	69
983	4022	65
984	4027	61
985	4030	57
986	4032	53
